sector,year,value,scenario,variant,unit
Mineralöle,2020,-0.13,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2021,-0.22,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2022,-0.45,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2023,-0.64,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2024,-0.78,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2025,-0.92,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2026,-1.07,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2027,-1.21,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2028,-1.35,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2029,-1.49,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2030,-1.62,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2031,-1.75,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2032,-1.86,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2033,-1.97,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2034,-2.07,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2035,-2.17,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2036,-2.28,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2037,-2.38,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2038,-2.47,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2039,-2.57,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2040,-2.65,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2041,-2.76,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2042,-2.87,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2043,-2.95,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2044,-3.03,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2045,-3.17,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2046,-3.31,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2047,-3.4,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2048,-3.46,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2049,-3.49,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2050,-3.51,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2051,-3.46,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2052,-3.42,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2053,-3.37,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2054,-3.33,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2055,-3.29,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2056,-3.24,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2057,-3.2,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2058,-3.16,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2059,-3.11,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,2060,-3.07,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,kumuliert 2020-50,-64.01,ZERO-Basis,KKW50,Mrd. CHF
Mineralöle,kumuliert 2020-60,-96.67,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2020,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2021,-0.02,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2022,-0.07,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2023,-0.11,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2024,-0.15,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2025,-0.18,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2026,-0.22,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2027,-0.27,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2028,-0.3,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2029,-0.35,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2030,-0.39,ZERO-Basis,KKW50,Mrd. CHF
Erdgas,2031,-0.43,ZERO-Basis,KKW50,Mrd. CHF
