sector,year,value,scenario,variant,unit
EEV Strom,2000,52.373,ZERO-Basis,KKW50,TWh
EEV Strom,2001,53.749,ZERO-Basis,KKW50,TWh
EEV Strom,2002,54.029,ZERO-Basis,KKW50,TWh
EEV Strom,2003,55.122,ZERO-Basis,KKW50,TWh
EEV Strom,2004,56.171,ZERO-Basis,KKW50,TWh
EEV Strom,2005,57.33,ZERO-Basis,KKW50,TWh
EEV Strom,2006,57.782,ZERO-Basis,KKW50,TWh
EEV Strom,2007,57.432,ZERO-Basis,KKW50,TWh
EEV Strom,2008,58.729,ZERO-Basis,KKW50,TWh
EEV Strom,2009,57.494,ZERO-Basis,KKW50,TWh
EEV Strom,2010,59.785,ZERO-Basis,KKW50,TWh
EEV Strom,2011,58.599,ZERO-Basis,KKW50,TWh
EEV Strom,2012,58.973,ZERO-Basis,KKW50,TWh
EEV Strom,2013,59.323,ZERO-Basis,KKW50,TWh
EEV Strom,2014,57.466,ZERO-Basis,KKW50,TWh
EEV Strom,2015,58.246,ZERO-Basis,KKW50,TWh
EEV Strom,2016,58.239,ZERO-Basis,KKW50,TWh
EEV Strom,2017,58.483,ZERO-Basis,KKW50,TWh
EEV Strom,2018,57.647,ZERO-Basis,KKW50,TWh
EEV Strom,2019,57.198,ZERO-Basis,KKW50,TWh
EEV Strom,2020,57.861976029059235,ZERO-Basis,KKW50,TWh
EEV Strom,2021,57.6127180094185,ZERO-Basis,KKW50,TWh
EEV Strom,2022,57.50731712601748,ZERO-Basis,KKW50,TWh
EEV Strom,2023,57.3070114506355,ZERO-Basis,KKW50,TWh
EEV Strom,2024,57.22157991661697,ZERO-Basis,KKW50,TWh
EEV Strom,2025,57.21080324255152,ZERO-Basis,KKW50,TWh
EEV Strom,2026,57.25610809123341,ZERO-Basis,KKW50,TWh
EEV Strom,2027,57.356020917094305,ZERO-Basis,KKW50,TWh
EEV Strom,2028,57.47082153560208,ZERO-Basis,KKW50,TWh
EEV Strom,2029,57.66179727764035,ZERO-Basis,KKW50,TWh
EEV Strom,2030,57.88015943032795,ZERO-Basis,KKW50,TWh
EEV Strom,2031,58.1750769750019,ZERO-Basis,KKW50,TWh
EEV Strom,2032,58.50926259104635,ZERO-Basis,KKW50,TWh
EEV Strom,2033,58.834217816732085,ZERO-Basis,KKW50,TWh
EEV Strom,2034,59.1865668330904,ZERO-Basis,KKW50,TWh
EEV Strom,2035,59.599331239730795,ZERO-Basis,KKW50,TWh
EEV Strom,2036,59.9554522149688,ZERO-Basis,KKW50,TWh
EEV Strom,2037,60.35657402093009,ZERO-Basis,KKW50,TWh
EEV Strom,2038,60.74974441438549,ZERO-Basis,KKW50,TWh
EEV Strom,2039,61.162459779166966,ZERO-Basis,KKW50,TWh
EEV Strom,2040,61.5085239412317,ZERO-Basis,KKW50,TWh
EEV Strom,2041,61.7977584250423,ZERO-Basis,KKW50,TWh
EEV Strom,2042,62.101505654305946,ZERO-Basis,KKW50,TWh
EEV Strom,2043,62.3600642412953,ZERO-Basis,KKW50,TWh
EEV Strom,2044,62.65606203342916,ZERO-Basis,KKW50,TWh
EEV Strom,2045,62.894347928803036,ZERO-Basis,KKW50,TWh
EEV Strom,2046,63.04311456257573,ZERO-Basis,KKW50,TWh
EEV Strom,2047,63.13245693375515,ZERO-Basis,KKW50,TWh
EEV Strom,2048,63.20216944580534,ZERO-Basis,KKW50,TWh
EEV Strom,2049,63.271488111687916,ZERO-Basis,KKW50,TWh
EEV Strom,2050,63.247004172982116,ZERO-Basis,KKW50,TWh
EEV Strom,2051,63.218871804871945,ZERO-Basis,KKW50,TWh
EEV Strom,2052,63.175198447015234,ZERO-Basis,KKW50,TWh
EEV Strom,2053,63.15098876820762,ZERO-Basis,KKW50,TWh
EEV Strom,2054,63.09290196713092,ZERO-Basis,KKW50,TWh
EEV Strom,2055,62.981803795072096,ZERO-Basis,KKW50,TWh
EEV Strom,2056,62.84799359716572,ZERO-Basis,KKW50,TWh
EEV Strom,2057,62.72376217855651,ZERO-Basis,KKW50,TWh
EEV Strom,2058,62.60176136933874,ZERO-Basis,KKW50,TWh
EEV Strom,2059,62.47575256530605,ZERO-Basis,KKW50,TWh
EEV Strom,2060,62.32507212562962,ZERO-Basis,KKW50,TWh
Konventionell,2000,51.66198122875708,ZERO-Basis,KKW50,TWh
Konventionell,2001,52.93404837849417,ZERO-Basis,KKW50,TWh
Konventionell,2002,53.21494855663789,ZERO-Basis,KKW50,TWh
Konventionell,2003,54.21202697348417,ZERO-Basis,KKW50,TWh
Konventionell,2004,55.20643013855876,ZERO-Basis,KKW50,TWh
Konventionell,2005,56.252919484742314,ZERO-Basis,KKW50,TWh
Konventionell,2006,56.63217740411528,ZERO-Basis,KKW50,TWh
Konventionell,2007,56.30497625777968,ZERO-Basis,KKW50,TWh
Konventionell,2008,57.408039965300894,ZERO-Basis,KKW50,TWh
Konventionell,2009,56.117598965284046,ZERO-Basis,KKW50,TWh
Konventionell,2010,58.13796817397999,ZERO-Basis,KKW50,TWh
Konventionell,2011,57.12217792719713,ZERO-Basis,KKW50,TWh
Konventionell,2012,57.232985510985344,ZERO-Basis,KKW50,TWh
Konventionell,2013,57.288791716940985,ZERO-Basis,KKW50,TWh
Konventionell,2014,55.70962314513859,ZERO-Basis,KKW50,TWh
Konventionell,2015,56.18889165250813,ZERO-Basis,KKW50,TWh
Konventionell,2016,55.92329090782069,ZERO-Basis,KKW50,TWh
Konventionell,2017,56.03771551649399,ZERO-Basis,KKW50,TWh
Konventionell,2018,55.25622233050814,ZERO-Basis,KKW50,TWh
Konventionell,2019,54.56060549002331,ZERO-Basis,KKW50,TWh
Konventionell,2020,54.88632859305219,ZERO-Basis,KKW50,TWh
Konventionell,2021,54.35641991343451,ZERO-Basis,KKW50,TWh
Konventionell,2022,53.877940967098915,ZERO-Basis,KKW50,TWh
Konventionell,2023,53.26366177960612,ZERO-Basis,KKW50,TWh
Konventionell,2024,52.73809435596186,ZERO-Basis,KKW50,TWh
Konventionell,2025,52.2079313822795,ZERO-Basis,KKW50,TWh
Konventionell,2026,51.69129939898691,ZERO-Basis,KKW50,TWh
Konventionell,2027,51.204260249932794,ZERO-Basis,KKW50,TWh
Konventionell,2028,50.689512204956046,ZERO-Basis,KKW50,TWh
Konventionell,2029,50.224285639376184,ZERO-Basis,KKW50,TWh
Konventionell,2030,49.71817142392988,ZERO-Basis,KKW50,TWh
Konventionell,2031,49.30450297201949,ZERO-Basis,KKW50,TWh
Konventionell,2032,48.90303193860697,ZERO-Basis,KKW50,TWh
Konventionell,2033,48.455336917440874,ZERO-Basis,KKW50,TWh
Konventionell,2034,48.03817088528582,ZERO-Basis,KKW50,TWh
Konventionell,2035,47.661598623831686,ZERO-Basis,KKW50,TWh
Konventionell,2036,47.19452251163258,ZERO-Basis,KKW50,TWh
Konventionell,2037,46.788293937508385,ZERO-Basis,KKW50,TWh
Konventionell,2038,46.38971306645361,ZERO-Basis,KKW50,TWh
Konventionell,2039,45.99950132800451,ZERO-Basis,KKW50,TWh
Konventionell,2040,45.594640932493064,ZERO-Basis,KKW50,TWh
Konventionell,2041,45.12578139001963,ZERO-Basis,KKW50,TWh
Konventionell,2042,44.7145424044498,ZERO-Basis,KKW50,TWh
Konventionell,2043,44.238445857556776,ZERO-Basis,KKW50,TWh
Konventionell,2044,43.83809224120904,ZERO-Basis,KKW50,TWh
Konventionell,2045,43.39457182146138,ZERO-Basis,KKW50,TWh
Konventionell,2046,42.895840477951666,ZERO-Basis,KKW50,TWh
Konventionell,2047,42.381915086202454,ZERO-Basis,KKW50,TWh
Konventionell,2048,41.9353161116684,ZERO-Basis,KKW50,TWh
Konventionell,2049,41.524524205458064,ZERO-Basis,KKW50,TWh
Konventionell,2050,41.094241769544055,ZERO-Basis,KKW50,TWh
Konventionell,2051,40.75051437493584,ZERO-Basis,KKW50,TWh
Konventionell,2052,40.424758946427914,ZERO-Basis,KKW50,TWh
Konventionell,2053,40.15154334203792,ZERO-Basis,KKW50,TWh
Konventionell,2054,39.887519181570084,ZERO-Basis,KKW50,TWh
Konventionell,2055,39.61179314357665,ZERO-Basis,KKW50,TWh
Konventionell,2056,39.34433029028663,ZERO-Basis,KKW50,TWh
Konventionell,2057,39.09699112070466,ZERO-Basis,KKW50,TWh
Konventionell,2058,38.86972041323095,ZERO-Basis,KKW50,TWh
Konventionell,2059,38.64672813327818,ZERO-Basis,KKW50,TWh
Konventionell,2060,38.40049284018032,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2000,0.08533226213743868,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2001,0.09300461292239363,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2002,0.0940687833004823,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2003,0.10553951645711374,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2004,0.10099179658613085,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2005,0.1051334327656237,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2006,0.11361227447378792,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2007,0.10491150458129772,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2008,0.11047289152865374,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2009,0.10461875135210243,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2010,0.1197848939526358,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2011,0.12191070084483371,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2012,0.1206143658642059,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2013,0.11252877783978618,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2014,0.10515930312102224,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2015,0.1173427875590383,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2016,0.12660306217190992,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2017,0.14061946305489112,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2018,0.1666297615301441,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2019,0.20232370254715584,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2020,0.24694600328646016,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2021,0.3165565931383171,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2022,0.4113209670035588,ZERO-Basis,KKW50,TWh
Elektrofahrzeuge Strasse,2023,0.5312817490686663,ZERO-Basis,KKW50,TWh
