technology,year,value,scenario,variant,unit
Wasserkraftwerke,2000,37.851,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2001,42.261,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2002,36.513,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2003,36.445,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2004,35.117,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2005,32.759,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2006,32.557,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2007,36.373,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2008,37.559,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2009,37.136,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2010,37.45,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2011,33.795,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2012,39.906,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2013,39.572,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2014,39.308,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2015,39.486,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2016,36.326,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2017,36.666,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2018,37.428,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2019,40.556,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2020,39.06144160931392,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2021,38.95182519483276,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2022,39.85733974351628,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2023,40.121808632620755,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2024,40.40268740627088,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2025,40.42397099178967,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2026,40.663154577308504,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2027,40.97570224615399,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2028,41.37071957153559,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2029,41.1499436949143,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2030,41.665525744119066,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2031,41.904315064115856,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2032,42.21945949305609,ZERO-Basis,KKW50,TWh
