technology,year,value,scenario,variant,unit
ungekoppelt,2000,0.014171189,ZERO-Basis,KKW50,TWh
ungekoppelt,2001,0.016992662,ZERO-Basis,KKW50,TWh
ungekoppelt,2002,0.020072728,ZERO-Basis,KKW50,TWh
ungekoppelt,2003,0.022831,ZERO-Basis,KKW50,TWh
ungekoppelt,2004,0.024353,ZERO-Basis,KKW50,TWh
ungekoppelt,2005,0.029112,ZERO-Basis,KKW50,TWh
ungekoppelt,2006,0.039025000000000004,ZERO-Basis,KKW50,TWh
ungekoppelt,2007,0.044565999999999995,ZERO-Basis,KKW50,TWh
ungekoppelt,2008,0.055248,ZERO-Basis,KKW50,TWh
ungekoppelt,2009,0.077013,ZERO-Basis,KKW50,TWh
ungekoppelt,2010,0.130223,ZERO-Basis,KKW50,TWh
ungekoppelt,2011,0.23818393100000002,ZERO-Basis,KKW50,TWh
ungekoppelt,2012,0.387536,ZERO-Basis,KKW50,TWh
ungekoppelt,2013,0.5899880000000001,ZERO-Basis,KKW50,TWh
ungekoppelt,2014,0.9424520000000001,ZERO-Basis,KKW50,TWh
ungekoppelt,2015,1.228578,ZERO-Basis,KKW50,TWh
ungekoppelt,2016,1.4421,ZERO-Basis,KKW50,TWh
ungekoppelt,2017,1.8158100000000001,ZERO-Basis,KKW50,TWh
ungekoppelt,2018,2.0669,ZERO-Basis,KKW50,TWh
ungekoppelt,2019,2.32359,ZERO-Basis,KKW50,TWh
ungekoppelt,2020,2.6904488982807786,ZERO-Basis,KKW50,TWh
ungekoppelt,2021,3.038087345550342,ZERO-Basis,KKW50,TWh
ungekoppelt,2022,3.367783480830706,ZERO-Basis,KKW50,TWh
ungekoppelt,2023,3.796745100250764,ZERO-Basis,KKW50,TWh
ungekoppelt,2024,4.171640250735581,ZERO-Basis,KKW50,TWh
ungekoppelt,2025,4.5917121087958925,ZERO-Basis,KKW50,TWh
ungekoppelt,2026,5.215610143611148,ZERO-Basis,KKW50,TWh
ungekoppelt,2027,6.00073427132187,ZERO-Basis,KKW50,TWh
ungekoppelt,2028,7.0451900393580305,ZERO-Basis,KKW50,TWh
ungekoppelt,2029,8.144782225695797,ZERO-Basis,KKW50,TWh
ungekoppelt,2030,9.255788249561125,ZERO-Basis,KKW50,TWh
ungekoppelt,2031,10.42313082186164,ZERO-Basis,KKW50,TWh
ungekoppelt,2032,11.647195780616812,ZERO-Basis,KKW50,TWh
ungekoppelt,2033,12.883703628900001,ZERO-Basis,KKW50,TWh
ungekoppelt,2034,14.147187815276055,ZERO-Basis,KKW50,TWh
ungekoppelt,2035,15.630726954969434,ZERO-Basis,KKW50,TWh
ungekoppelt,2036,17.13358291573871,ZERO-Basis,KKW50,TWh
ungekoppelt,2037,18.738093811407587,ZERO-Basis,KKW50,TWh
ungekoppelt,2038,20.353951140576054,ZERO-Basis,KKW50,TWh
ungekoppelt,2039,22.068768568178623,ZERO-Basis,KKW50,TWh
ungekoppelt,2040,23.70244951130903,ZERO-Basis,KKW50,TWh
ungekoppelt,2041,25.20827636798229,ZERO-Basis,KKW50,TWh
ungekoppelt,2042,26.717906869572367,ZERO-Basis,KKW50,TWh
ungekoppelt,2043,28.184507108131044,ZERO-Basis,KKW50,TWh
ungekoppelt,2044,29.65251758724836,ZERO-Basis,KKW50,TWh
ungekoppelt,2045,31.123195799397003,ZERO-Basis,KKW50,TWh
