technology,year,value,scenario,variant,unit
Kleinwasserkraft,2000,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2001,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2002,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2003,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2004,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2005,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2006,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2007,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2008,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2009,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2010,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2011,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2012,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2013,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2014,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2015,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2016,0.0,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2017,0.234,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2018,0.27182752094224183,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2019,0.3096550418844837,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2020,0.34748256282672546,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2021,0.38531008376896725,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2022,0.4231376047112091,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2023,0.46096512565345094,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2024,0.4987926465956928,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2025,0.5366201675379345,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2026,0.5744476884801765,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2027,0.6122752094224182,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2028,0.6501027303646602,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2029,0.6879302513069019,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2030,0.7257577722491438,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2031,0.7635844131913856,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2032,0.8005618059332755,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2033,0.8377015760276774,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2034,0.8744534816229272,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2035,0.911072315334129,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2036,0.9150729299880829,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2037,0.9195371750840047,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2038,0.9247449616884548,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2039,0.9293087144522645,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2040,0.9343305898671304,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2041,0.9716996783971641,ZERO-Basis,KKW50,TWh
Kleinwasserkraft,2042,1.007572594326062,ZERO-Basis,KKW50,TWh
