technology,year,value,scenario,variant,unit
ungekoppelt,2000,0.018695000000000003,ZERO-Basis,KKW50,GW
ungekoppelt,2001,0.022824,ZERO-Basis,KKW50,GW
ungekoppelt,2002,0.025549,ZERO-Basis,KKW50,GW
ungekoppelt,2003,0.027293,ZERO-Basis,KKW50,GW
ungekoppelt,2004,0.033013,ZERO-Basis,KKW50,GW
ungekoppelt,2005,0.039894,ZERO-Basis,KKW50,GW
ungekoppelt,2006,0.041694,ZERO-Basis,KKW50,GW
ungekoppelt,2007,0.048964,ZERO-Basis,KKW50,GW
ungekoppelt,2008,0.06290599999999999,ZERO-Basis,KKW50,GW
ungekoppelt,2009,0.097043,ZERO-Basis,KKW50,GW
ungekoppelt,2010,0.16761299999999998,ZERO-Basis,KKW50,GW
ungekoppelt,2011,0.268416,ZERO-Basis,KKW50,GW
ungekoppelt,2012,0.485936,ZERO-Basis,KKW50,GW
ungekoppelt,2013,0.8158479999999999,ZERO-Basis,KKW50,GW
ungekoppelt,2014,1.1208779999999998,ZERO-Basis,KKW50,GW
ungekoppelt,2015,1.454238,ZERO-Basis,KKW50,GW
ungekoppelt,2016,1.73912,ZERO-Basis,KKW50,GW
ungekoppelt,2017,1.9809999999999999,ZERO-Basis,KKW50,GW
ungekoppelt,2018,2.2454685714285714,ZERO-Basis,KKW50,GW
ungekoppelt,2019,2.6154685714285715,ZERO-Basis,KKW50,GW
ungekoppelt,2020,2.9454685714285715,ZERO-Basis,KKW50,GW
ungekoppelt,2021,3.3054685714285714,ZERO-Basis,KKW50,GW
ungekoppelt,2022,3.675468571428571,ZERO-Basis,KKW50,GW
ungekoppelt,2023,4.115468571428571,ZERO-Basis,KKW50,GW
ungekoppelt,2024,4.53546857142857,ZERO-Basis,KKW50,GW
ungekoppelt,2025,4.995468571428571,ZERO-Basis,KKW50,GW
ungekoppelt,2026,5.695468571428571,ZERO-Basis,KKW50,GW
ungekoppelt,2027,6.56046857142857,ZERO-Basis,KKW50,GW
ungekoppelt,2028,7.695246299655951,ZERO-Basis,KKW50,GW
ungekoppelt,2029,8.885050688888361,ZERO-Basis,KKW50,GW
ungekoppelt,2030,10.080154970972334,ZERO-Basis,KKW50,GW
ungekoppelt,2031,11.330756266963098,ZERO-Basis,KKW50,GW
ungekoppelt,2032,12.636959663317787,ZERO-Basis,KKW50,GW
ungekoppelt,2033,13.948764225807384,ZERO-Basis,KKW50,GW
ungekoppelt,2034,15.273764225807383,ZERO-Basis,KKW50,GW
ungekoppelt,2035,16.83329535282974,ZERO-Basis,KKW50,GW
ungekoppelt,2036,18.401550357611885,ZERO-Basis,KKW50,GW
ungekoppelt,2037,20.07539243157065,ZERO-Basis,KKW50,GW
ungekoppelt,2038,21.754134811080974,ZERO-Basis,KKW50,GW
ungekoppelt,2039,23.536952342570395,ZERO-Basis,KKW50,GW
ungekoppelt,2040,25.223456263163854,ZERO-Basis,KKW50,GW
ungekoppelt,2041,26.762632009224788,ZERO-Basis,KKW50,GW
ungekoppelt,2042,28.30338240361438,ZERO-Basis,KKW50,GW
ungekoppelt,2043,29.794559051570737,ZERO-Basis,KKW50,GW
ungekoppelt,2044,31.28606895812218,ZERO-Basis,KKW50,GW
ungekoppelt,2045,32.77860209180491,ZERO-Basis,KKW50,GW
ungekoppelt,2046,34.27217045080764,ZERO-Basis,KKW50,GW
ungekoppelt,2047,35.66678615121347,ZERO-Basis,KKW50,GW
ungekoppelt,2048,37.05135722763537,ZERO-Basis,KKW50,GW
ungekoppelt,2049,38.41508138892536,ZERO-Basis,KKW50,GW
ungekoppelt,2050,39.73439321192881,ZERO-Basis,KKW50,GW
ungekoppelt,2051,40.88015928595788,ZERO-Basis,KKW50,GW
ungekoppelt,2052,41.52638416487909,ZERO-Basis,KKW50,GW
ungekoppelt,2053,42.02638416487909,ZERO-Basis,KKW50,GW
ungekoppelt,2054,42.42638416487909,ZERO-Basis,KKW50,GW
ungekoppelt,2055,42.726384164879086,ZERO-Basis,KKW50,GW
ungekoppelt,2056,43.02638416487909,ZERO-Basis,KKW50,GW
ungekoppelt,2057,43.32638416487909,ZERO-Basis,KKW50,GW
ungekoppelt,2058,43.626384164879084,ZERO-Basis,KKW50,GW
ungekoppelt,2059,43.92638416487909,ZERO-Basis,KKW50,GW
