technology,year,value,scenario,variant,unit
Wasserkraftwerke,2000,17.177,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2001,17.269000000000002,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2002,15.098999999999997,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2003,15.377999999999997,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2004,14.940999999999995,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2005,13.98,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2006,13.472000000000001,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2007,14.557999999999996,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2008,14.583999999999996,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2009,13.923000000000002,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2010,16.194000000000003,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2011,14.746000000000002,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2012,16.974,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2013,17.584000000000003,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2014,17.137999999999998,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2015,17.046999999999997,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2016,14.429000000000002,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2017,15.964999999999996,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2018,15.615999999999996,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2019,16.958999999999996,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2020,16.098815909227177,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2021,16.30382782379999,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2022,17.25420592089441,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2023,17.232267908561088,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2024,17.314700186102044,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2025,17.55418971383384,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2026,17.58736204142998,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2027,17.390872608273142,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2028,17.602458764440012,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2029,17.48388946330976,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2030,17.696831077135048,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2031,17.727807100375582,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2032,17.66235761205564,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2033,17.613633128269818,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2034,17.72943766807147,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2035,17.727666873881482,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2036,18.00065087432202,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2037,17.950005058424065,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2038,18.219523738817376,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2039,18.223127114152216,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2040,18.233732081253873,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2041,18.573605508502855,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2042,18.581122754517967,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2043,18.634686392417997,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2044,18.699627796279017,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2045,18.906608739034073,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2046,18.677452145236817,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2047,18.85620604537149,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2048,19.149188810660128,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2049,19.399442396140795,ZERO-Basis,KKW50,TWh
