technology,year,value,scenario,variant,unit
ungekoppelt,2015,0.3510885970452079,ZERO-Basis,KKW50,TWh
ungekoppelt,2016,0.40465152919898073,ZERO-Basis,KKW50,TWh
ungekoppelt,2017,0.508129049573725,ZERO-Basis,KKW50,TWh
ungekoppelt,2018,0.6661156413220364,ZERO-Basis,KKW50,TWh
ungekoppelt,2019,0.7401726339785315,ZERO-Basis,KKW50,TWh
ungekoppelt,2020,0.7694648982807786,ZERO-Basis,KKW50,TWh
ungekoppelt,2021,0.8803803455503423,ZERO-Basis,KKW50,TWh
ungekoppelt,2022,0.9675644808307062,ZERO-Basis,KKW50,TWh
ungekoppelt,2023,1.107895839836897,ZERO-Basis,KKW50,TWh
ungekoppelt,2024,1.2087837864963427,ZERO-Basis,KKW50,TWh
ungekoppelt,2025,1.3283205940697043,ZERO-Basis,KKW50,TWh
ungekoppelt,2026,1.5065807817314125,ZERO-Basis,KKW50,TWh
ungekoppelt,2027,1.7406710630475652,ZERO-Basis,KKW50,TWh
ungekoppelt,2028,2.0609204273243558,ZERO-Basis,KKW50,TWh
ungekoppelt,2029,2.4040381078430118,ZERO-Basis,KKW50,TWh
ungekoppelt,2030,2.758716450947385,ZERO-Basis,KKW50,TWh
ungekoppelt,2031,3.1362660612106463,ZERO-Basis,KKW50,TWh
ungekoppelt,2032,3.5382303297576296,ZERO-Basis,KKW50,TWh
ungekoppelt,2033,3.9524080893906284,ZERO-Basis,KKW50,TWh
ungekoppelt,2034,4.386433068629364,ZERO-Basis,KKW50,TWh
ungekoppelt,2035,4.893208030100961,ZERO-Basis,KKW50,TWh
ungekoppelt,2036,5.420199887490446,ZERO-Basis,KKW50,TWh
ungekoppelt,2037,5.982581738795329,ZERO-Basis,KKW50,TWh
ungekoppelt,2038,6.558054279613046,ZERO-Basis,KKW50,TWh
ungekoppelt,2039,7.168524283543681,ZERO-Basis,KKW50,TWh
ungekoppelt,2040,7.761514130439068,ZERO-Basis,KKW50,TWh
ungekoppelt,2041,8.319395679436948,ZERO-Basis,KKW50,TWh
ungekoppelt,2042,8.881639475073758,ZERO-Basis,KKW50,TWh
ungekoppelt,2043,9.43290284900236,ZERO-Basis,KKW50,TWh
ungekoppelt,2044,9.984125436613223,ZERO-Basis,KKW50,TWh
ungekoppelt,2045,10.533668988395483,ZERO-Basis,KKW50,TWh
ungekoppelt,2046,11.08345920439735,ZERO-Basis,KKW50,TWh
ungekoppelt,2047,11.625359422606888,ZERO-Basis,KKW50,TWh
ungekoppelt,2048,12.157681961519483,ZERO-Basis,KKW50,TWh
ungekoppelt,2049,12.674160714352627,ZERO-Basis,KKW50,TWh
ungekoppelt,2050,13.143019135617351,ZERO-Basis,KKW50,TWh
ungekoppelt,2051,13.571940576575372,ZERO-Basis,KKW50,TWh
ungekoppelt,2052,13.861956973213292,ZERO-Basis,KKW50,TWh
ungekoppelt,2053,14.078412443079657,ZERO-Basis,KKW50,TWh
ungekoppelt,2054,14.265636330469537,ZERO-Basis,KKW50,TWh
ungekoppelt,2055,14.425571144805431,ZERO-Basis,KKW50,TWh
ungekoppelt,2056,14.586051307188555,ZERO-Basis,KKW50,TWh
ungekoppelt,2057,14.7477816142261,ZERO-Basis,KKW50,TWh
ungekoppelt,2058,14.909498104916768,ZERO-Basis,KKW50,TWh
ungekoppelt,2059,15.071766461362731,ZERO-Basis,KKW50,TWh
ungekoppelt,2060,15.234749104025681,ZERO-Basis,KKW50,TWh
Photovoltaik,2015,0.2830520033634054,ZERO-Basis,KKW50,TWh
Photovoltaik,2016,0.33749794943888567,ZERO-Basis,KKW50,TWh
Photovoltaik,2017,0.42613489970090157,ZERO-Basis,KKW50,TWh
Photovoltaik,2018,0.5928837581456403,ZERO-Basis,KKW50,TWh
Photovoltaik,2019,0.6542275885187534,ZERO-Basis,KKW50,TWh
Photovoltaik,2020,0.6642946122837476,ZERO-Basis,KKW50,TWh
Photovoltaik,2021,0.7414950466883927,ZERO-Basis,KKW50,TWh
Photovoltaik,2022,0.8281458306575247,ZERO-Basis,KKW50,TWh
Photovoltaik,2023,0.9231497635981469,ZERO-Basis,KKW50,TWh
Photovoltaik,2024,1.0232758206837431,ZERO-Basis,KKW50,TWh
Photovoltaik,2025,1.1307541138904065,ZERO-Basis,KKW50,TWh
Photovoltaik,2026,1.30818539182758,ZERO-Basis,KKW50,TWh
Photovoltaik,2027,1.5243915526038911,ZERO-Basis,KKW50,TWh
Photovoltaik,2028,1.8040799817178135,ZERO-Basis,KKW50,TWh
Photovoltaik,2029,2.1005470774486508,ZERO-Basis,KKW50,TWh
Photovoltaik,2030,2.4021237324773956,ZERO-Basis,KKW50,TWh
Photovoltaik,2031,2.7198215048605467,ZERO-Basis,KKW50,TWh
Photovoltaik,2032,3.0549895420235957,ZERO-Basis,KKW50,TWh
Photovoltaik,2033,3.395388382925349,ZERO-Basis,KKW50,TWh
