technology,year,value,scenario,variant,unit
Wasserkraftwerke,2000,20.674,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2001,24.992,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2002,21.414,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2003,21.067000000000004,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2004,20.176000000000002,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2005,18.779,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2006,19.085,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2007,21.815,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2008,22.975,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2009,23.213,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2010,21.256,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2011,19.049,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2012,22.932,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2013,21.988,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2014,22.17,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2015,22.439,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2016,21.897,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2017,20.701,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2018,21.812,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2019,23.597,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2020,22.96262570008674,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2021,22.64799737103277,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2022,22.603133822621867,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2023,22.889540724059668,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2024,23.087987220168834,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2025,22.869781277955834,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2026,23.075792535878524,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2027,23.58482963788085,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2028,23.768260807095576,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2029,23.666054231604537,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2030,23.968694666984018,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2031,24.176507963740274,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2032,24.557101881000452,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2033,24.646466371764575,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2034,24.42841676379041,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2035,24.198673009151094,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2036,24.52507681481155,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2037,25.125453972713995,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2038,25.179361995860017,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2039,25.297636406552886,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2040,25.547872068095163,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2041,25.496635621359477,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2042,25.656438254881227,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2043,25.47597896776638,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2044,25.492529621204966,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2045,25.330920183781284,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2046,25.47332374382911,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2047,25.44034367394558,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2048,25.309545362610947,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2049,25.215740019580817,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2050,24.992758519155316,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2051,24.697788358162537,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2052,24.71669697625975,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2053,24.674932381847693,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2054,24.6611973151676,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2055,24.980227752638676,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2056,24.996574342211265,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2057,25.17659633064367,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2058,25.074618276966333,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2059,25.039982099822176,ZERO-Basis,KKW50,TWh
Wasserkraftwerke,2060,25.111345225521006,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2000,11.006,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2001,11.394,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2002,11.671999999999999,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2003,11.863,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2004,11.314,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2005,7.9670000000000005,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2006,12.083,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2007,12.304999999999998,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2008,11.915999999999999,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2009,11.95,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2010,10.96,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2011,11.322,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2012,10.904,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2013,10.475,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2014,11.909,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2015,9.868,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2016,9.962,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2017,10.583,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2018,12.176,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2019,11.38,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2020,9.406916000000306,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2021,9.207567800000147,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2022,7.1473630999998665,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2023,7.050130699999924,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2024,7.058873399999937,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2025,7.064297899999892,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2026,7.095491899999875,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2027,6.9698127999998984,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2028,6.800955300000018,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2029,3.77933739999999,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2030,3.7150838000000075,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2031,3.6503713999999934,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2032,3.6652090999999807,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2033,3.5721628999999973,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2034,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2035,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2036,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2037,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2038,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2039,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2040,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2041,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2042,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2043,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2044,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2045,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2046,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2047,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2048,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2049,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2050,0.0,ZERO-Basis,KKW50,TWh
Kernkraftwerke,2051,0.0,ZERO-Basis,KKW50,TWh
