technology,year,value,scenario,variant,unit
ungekoppelt,2015,0.877489402954792,ZERO-Basis,KKW50,TWh
ungekoppelt,2016,1.0374484708010192,ZERO-Basis,KKW50,TWh
ungekoppelt,2017,1.3076809504262752,ZERO-Basis,KKW50,TWh
ungekoppelt,2018,1.4007843586779636,ZERO-Basis,KKW50,TWh
ungekoppelt,2019,1.5834173660214683,ZERO-Basis,KKW50,TWh
ungekoppelt,2020,1.920984,ZERO-Basis,KKW50,TWh
ungekoppelt,2021,2.157707,ZERO-Basis,KKW50,TWh
ungekoppelt,2022,2.400219,ZERO-Basis,KKW50,TWh
ungekoppelt,2023,2.688849260413867,ZERO-Basis,KKW50,TWh
ungekoppelt,2024,2.962856464239238,ZERO-Basis,KKW50,TWh
ungekoppelt,2025,3.2633915147261883,ZERO-Basis,KKW50,TWh
ungekoppelt,2026,3.709029361879735,ZERO-Basis,KKW50,TWh
ungekoppelt,2027,4.260063208274305,ZERO-Basis,KKW50,TWh
ungekoppelt,2028,4.984269612033675,ZERO-Basis,KKW50,TWh
ungekoppelt,2029,5.740744117852786,ZERO-Basis,KKW50,TWh
ungekoppelt,2030,6.49707179861374,ZERO-Basis,KKW50,TWh
ungekoppelt,2031,7.286864760650994,ZERO-Basis,KKW50,TWh
ungekoppelt,2032,8.108965450859182,ZERO-Basis,KKW50,TWh
ungekoppelt,2033,8.931295539509373,ZERO-Basis,KKW50,TWh
ungekoppelt,2034,9.760754746646692,ZERO-Basis,KKW50,TWh
ungekoppelt,2035,10.737518924868473,ZERO-Basis,KKW50,TWh
ungekoppelt,2036,11.713383028248264,ZERO-Basis,KKW50,TWh
ungekoppelt,2037,12.755512072612259,ZERO-Basis,KKW50,TWh
ungekoppelt,2038,13.795896860963008,ZERO-Basis,KKW50,TWh
ungekoppelt,2039,14.900244284634942,ZERO-Basis,KKW50,TWh
ungekoppelt,2040,15.940935380869963,ZERO-Basis,KKW50,TWh
ungekoppelt,2041,16.888880688545342,ZERO-Basis,KKW50,TWh
ungekoppelt,2042,17.83626739449861,ZERO-Basis,KKW50,TWh
ungekoppelt,2043,18.751604259128683,ZERO-Basis,KKW50,TWh
ungekoppelt,2044,19.66839215063514,ZERO-Basis,KKW50,TWh
ungekoppelt,2045,20.58952681100152,ZERO-Basis,KKW50,TWh
ungekoppelt,2046,21.513082540179603,ZERO-Basis,KKW50,TWh
ungekoppelt,2047,22.357707913630367,ZERO-Basis,KKW50,TWh
ungekoppelt,2048,23.194439577338787,ZERO-Basis,KKW50,TWh
ungekoppelt,2049,24.00972852137048,ZERO-Basis,KKW50,TWh
ungekoppelt,2050,24.794026105272295,ZERO-Basis,KKW50,TWh
ungekoppelt,2051,25.4639071012203,ZERO-Basis,KKW50,TWh
ungekoppelt,2052,25.825760997423796,ZERO-Basis,KKW50,TWh
ungekoppelt,2053,26.090742903127484,ZERO-Basis,KKW50,TWh
ungekoppelt,2054,26.295586438629524,ZERO-Basis,KKW50,TWh
ungekoppelt,2055,26.43823096063459,ZERO-Basis,KKW50,TWh
ungekoppelt,2056,26.580566402338135,ZERO-Basis,KKW50,TWh
ungekoppelt,2057,26.721887967132957,ZERO-Basis,KKW50,TWh
ungekoppelt,2058,26.863459616020368,ZERO-Basis,KKW50,TWh
ungekoppelt,2059,27.004715666898196,ZERO-Basis,KKW50,TWh
ungekoppelt,2060,27.145493699304737,ZERO-Basis,KKW50,TWh
Photovoltaik,2015,0.8354979966365945,ZERO-Basis,KKW50,TWh
Photovoltaik,2016,0.9960020505611142,ZERO-Basis,KKW50,TWh
Photovoltaik,2017,1.2570751002990985,ZERO-Basis,KKW50,TWh
Photovoltaik,2018,1.3522162418543595,ZERO-Basis,KKW50,TWh
Photovoltaik,2019,1.5234424114812466,ZERO-Basis,KKW50,TWh
Photovoltaik,2020,1.856052,ZERO-Basis,KKW50,TWh
Photovoltaik,2021,2.071906,ZERO-Basis,KKW50,TWh
Photovoltaik,2022,2.313971,ZERO-Basis,KKW50,TWh
Photovoltaik,2023,2.574537152585324,ZERO-Basis,KKW50,TWh
Photovoltaik,2024,2.8480126833917683,ZERO-Basis,KKW50,TWh
Photovoltaik,2025,3.141053284366149,ZERO-Basis,KKW50,TWh
Photovoltaik,2026,3.5861481758310694,ZERO-Basis,KKW50,TWh
Photovoltaik,2027,4.126070266961423,ZERO-Basis,KKW50,TWh
Photovoltaik,2028,4.825029278424246,ZERO-Basis,KKW50,TWh
Photovoltaik,2029,5.552465579994671,ZERO-Basis,KKW50,TWh
Photovoltaik,2030,6.275698015292395,ZERO-Basis,KKW50,TWh
Photovoltaik,2031,7.028144045875464,ZERO-Basis,KKW50,TWh
Photovoltaik,2032,7.8085135912548145,ZERO-Basis,KKW50,TWh
Photovoltaik,2033,8.584636781835904,ZERO-Basis,KKW50,TWh
Photovoltaik,2034,9.357899554159161,ZERO-Basis,KKW50,TWh
Photovoltaik,2035,10.271346343268602,ZERO-Basis,KKW50,TWh
Photovoltaik,2036,11.1768965441288,ZERO-Basis,KKW50,TWh
Photovoltaik,2037,12.14415374803054,ZERO-Basis,KKW50,TWh
Photovoltaik,2038,13.105728398932369,ZERO-Basis,KKW50,TWh
Photovoltaik,2039,14.127807811603333,ZERO-Basis,KKW50,TWh
Photovoltaik,2040,15.083496114916127,ZERO-Basis,KKW50,TWh
Photovoltaik,2041,15.944418567345412,ZERO-Basis,KKW50,TWh
Photovoltaik,2042,16.803667845215774,ZERO-Basis,KKW50,TWh
Photovoltaik,2043,17.630508935899446,ZERO-Basis,KKW50,TWh
Photovoltaik,2044,18.458602418478815,ZERO-Basis,KKW50,TWh
Photovoltaik,2045,19.29017528611628,ZERO-Basis,KKW50,TWh
Photovoltaik,2046,20.123588804556594,ZERO-Basis,KKW50,TWh
Photovoltaik,2047,20.877271006916914,ZERO-Basis,KKW50,TWh
Photovoltaik,2048,21.63004259200756,ZERO-Basis,KKW50,TWh
Photovoltaik,2049,22.376264695286,ZERO-Basis,KKW50,TWh
Photovoltaik,2050,23.122072019672164,ZERO-Basis,KKW50,TWh
Photovoltaik,2051,23.75313212124978,ZERO-Basis,KKW50,TWh
Photovoltaik,2052,24.075817753372856,ZERO-Basis,KKW50,TWh
Photovoltaik,2053,24.333201586902675,ZERO-Basis,KKW50,TWh
Photovoltaik,2054,24.530313773313985,ZERO-Basis,KKW50,TWh
Photovoltaik,2055,24.6653119270325,ZERO-Basis,KKW50,TWh
Photovoltaik,2056,24.799978409754484,ZERO-Basis,KKW50,TWh
Photovoltaik,2057,24.933634189366785,ZERO-Basis,KKW50,TWh
Photovoltaik,2058,25.067521284571374,ZERO-Basis,KKW50,TWh
Photovoltaik,2059,25.20108435384211,ZERO-Basis,KKW50,TWh
Photovoltaik,2060,25.334171085572624,ZERO-Basis,KKW50,TWh
Windenergie,2015,0.04199140631819756,ZERO-Basis,KKW50,TWh
Windenergie,2016,0.041446420239904885,ZERO-Basis,KKW50,TWh
Windenergie,2017,0.05060585012717669,ZERO-Basis,KKW50,TWh
Windenergie,2018,0.04856811682360404,ZERO-Basis,KKW50,TWh
Windenergie,2019,0.05997495454022171,ZERO-Basis,KKW50,TWh
Windenergie,2020,0.064932,ZERO-Basis,KKW50,TWh
Windenergie,2021,0.085801,ZERO-Basis,KKW50,TWh
Windenergie,2022,0.086248,ZERO-Basis,KKW50,TWh
Windenergie,2023,0.11431210782854355,ZERO-Basis,KKW50,TWh
Windenergie,2024,0.1148437808474698,ZERO-Basis,KKW50,TWh
Windenergie,2025,0.12233823036003894,ZERO-Basis,KKW50,TWh
Windenergie,2026,0.122881186048666,ZERO-Basis,KKW50,TWh
Windenergie,2027,0.1339929413128816,ZERO-Basis,KKW50,TWh
Windenergie,2028,0.1592403336094288,ZERO-Basis,KKW50,TWh
Windenergie,2029,0.18827853785811466,ZERO-Basis,KKW50,TWh
Windenergie,2030,0.22137378332134444,ZERO-Basis,KKW50,TWh
Windenergie,2031,0.2587207147755304,ZERO-Basis,KKW50,TWh
Windenergie,2032,0.30045185960436743,ZERO-Basis,KKW50,TWh
