country,year,value,scenario,variant,unit
Schweiz,2015,46.22474944139139,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2016,40.80512268314905,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2017,46.84764925824124,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2018,54.94578108058459,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2019,61.77280160714397,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2020,60.760569619964926,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2021,58.11580255036468,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2022,62.20311154762027,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2023,62.94756876831574,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2024,62.54507253663011,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2025,63.594113942308184,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2026,64.28379688186861,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2027,60.148698035714574,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2028,59.66495971153792,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2029,63.25617232142938,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2030,62.28767297161159,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2031,67.74954784340477,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2032,72.77887111721753,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2033,75.96758736263709,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2034,89.59711358974282,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2035,89.54504624084286,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2036,96.17934928571094,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2037,98.95162075091508,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2038,103.98530690476309,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2039,99.0759320924882,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2040,104.23483065934043,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2041,119.39933246336828,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2042,139.01000604853772,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2043,142.81356305861485,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2044,159.2120229624599,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2045,155.4104381914008,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2046,162.530542358069,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2047,170.96562297620108,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2048,170.81554346154672,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2049,163.90161800824941,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2050,174.480860366304,ZERO-Basis,KKW50,CHF/MWh
Schweiz,2051,171.25836934524463,ZERO-Basis,KKW50,CHF/MWh
