technology,year,value,scenario,variant,unit
Erdgas,2000,0.8954444444444439,ZERO-Basis,KKW50,TWh
Erdgas,2001,1.1225630065359478,ZERO-Basis,KKW50,TWh
Erdgas,2002,0.9496815686274511,ZERO-Basis,KKW50,TWh
Erdgas,2003,1.1629112418300656,ZERO-Basis,KKW50,TWh
Erdgas,2004,1.2455853594771236,ZERO-Basis,KKW50,TWh
Erdgas,2005,1.2199261437908493,ZERO-Basis,KKW50,TWh
Erdgas,2006,1.2220949836601305,ZERO-Basis,KKW50,TWh
Erdgas,2007,0.9714860457516334,ZERO-Basis,KKW50,TWh
Erdgas,2008,1.085146833748526,ZERO-Basis,KKW50,TWh
Erdgas,2009,0.9835522409183409,ZERO-Basis,KKW50,TWh
Erdgas,2010,1.4341098110934822,ZERO-Basis,KKW50,TWh
Erdgas,2011,0.8483940181583384,ZERO-Basis,KKW50,TWh
Erdgas,2012,0.9662106152223172,ZERO-Basis,KKW50,TWh
Erdgas,2013,1.1701576055870726,ZERO-Basis,KKW50,TWh
Erdgas,2014,0.506966703170629,ZERO-Basis,KKW50,TWh
Erdgas,2015,0.9957378217063275,ZERO-Basis,KKW50,TWh
Erdgas,2016,1.1705780040426486,ZERO-Basis,KKW50,TWh
Erdgas,2017,1.1462764355828556,ZERO-Basis,KKW50,TWh
Erdgas,2018,0.6990594115506887,ZERO-Basis,KKW50,TWh
Erdgas,2019,1.1226262320619071,ZERO-Basis,KKW50,TWh
Erdgas,2020,1.575,ZERO-Basis,KKW50,TWh
Erdgas,2021,1.8285,ZERO-Basis,KKW50,TWh
Erdgas,2022,1.8948669949328893,ZERO-Basis,KKW50,TWh
Erdgas,2023,1.8865790850703508,ZERO-Basis,KKW50,TWh
Erdgas,2024,1.8200679175643593,ZERO-Basis,KKW50,TWh
Erdgas,2025,1.7260159745813923,ZERO-Basis,KKW50,TWh
Erdgas,2026,1.7391396550578488,ZERO-Basis,KKW50,TWh
Erdgas,2027,1.5681020541592159,ZERO-Basis,KKW50,TWh
Erdgas,2028,1.648202524849623,ZERO-Basis,KKW50,TWh
Erdgas,2029,1.5386204082993131,ZERO-Basis,KKW50,TWh
Erdgas,2030,1.4786721630606439,ZERO-Basis,KKW50,TWh
Erdgas,2031,1.4064198161980874,ZERO-Basis,KKW50,TWh
Erdgas,2032,1.1212110861784745,ZERO-Basis,KKW50,TWh
Erdgas,2033,1.0203103905142814,ZERO-Basis,KKW50,TWh
Erdgas,2034,0.9858861692588642,ZERO-Basis,KKW50,TWh
Erdgas,2035,0.9054821762825745,ZERO-Basis,KKW50,TWh
Erdgas,2036,0.823338998101051,ZERO-Basis,KKW50,TWh
Erdgas,2037,0.8527317991716409,ZERO-Basis,KKW50,TWh
Erdgas,2038,0.7552273773781221,ZERO-Basis,KKW50,TWh
Erdgas,2039,0.6851562537467955,ZERO-Basis,KKW50,TWh
Erdgas,2040,0.6206471663891594,ZERO-Basis,KKW50,TWh
Erdgas,2041,0.5324670835273797,ZERO-Basis,KKW50,TWh
Erdgas,2042,0.4622384045886222,ZERO-Basis,KKW50,TWh
Erdgas,2043,0.37835154765130774,ZERO-Basis,KKW50,TWh
Erdgas,2044,0.3455783329469495,ZERO-Basis,KKW50,TWh
Erdgas,2045,0.29782141203061624,ZERO-Basis,KKW50,TWh
Erdgas,2046,0.2320468012049744,ZERO-Basis,KKW50,TWh
Erdgas,2047,0.17965347764936182,ZERO-Basis,KKW50,TWh
Erdgas,2048,0.12992659249722205,ZERO-Basis,KKW50,TWh
Erdgas,2049,0.07167765794587524,ZERO-Basis,KKW50,TWh
Erdgas,2050,0.0,ZERO-Basis,KKW50,TWh
Erdgas,2051,0.0,ZERO-Basis,KKW50,TWh
Erdgas,2052,0.0,ZERO-Basis,KKW50,TWh
Erdgas,2053,0.0,ZERO-Basis,KKW50,TWh
