variable,unit,year,value,scenario,variant
H2-Erzeugung im Inland,PJ,2020,0.013496341901065667,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2021,0.11635935629726987,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2022,0.20808180279559507,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2023,0.323106381846034,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2024,0.4621033389625942,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2025,0.6261023526382521,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2026,0.8193842951675585,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2027,1.0278851672506717,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2028,1.2501042900921524,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2029,1.4840337014474567,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2030,1.7273049818111845,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2031,2.0388735767658677,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2032,2.4021484651552334,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2033,2.8150510733769964,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2034,3.276727775510898,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2035,3.7868493713691365,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2036,4.172647633278935,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2037,4.341659980813679,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2038,4.977405111559224,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2039,4.857438745921508,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2040,5.779516530769908,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2041,4.616337967401155,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2042,6.330242223877512,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2043,5.28762768449471,ZERO-Basis,KKW50
H2-Erzeugung im Inland,PJ,2044,5.385341942336537,ZERO-Basis,KKW50
